active_time,aerobic,calories,distance,steps,speed,time
14,True,0.660000026226,16,25,1.14300000668,1370721000
10,True,0.580999970436,15,21,1.5,1370721960
16,True,0.929000020027,24,34,1.5,1370722020
11,True,0.653999984264,17,23,1.54499995708,1370722080
12,True,0.666000008583,17,24,1.41700005531,1370730780
10,True,0.550000011921,14,20,1.39999997616,1370730840
12,True,0.635999977589,16,23,1.33299994469,1370730900
12,True,0.544000029564,13,20,1.08299994469,1370731080
24,True,1.21099996567,30,44,1.25,1370731140
15,True,0.824999988079,21,30,1.39999997616,1370731380
34,True,1.54700005054,37,57,1.08800005913,1370731440
8,True,0.465000003576,12,18,1.5,1370731500
13,True,0.769999980927,20,27,1.5379999876,1370731560
20,True,1.07000005245,27,39,1.35000002384,1370731680
3,True,0.12800000608,3,5,1.0,1370731740
35,True,1.89499998093,48,69,1.3710000515,1370731980
26,True,1.35699999332,34,50,1.30799996853,1370732040
17,True,0.850000023842,21,31,1.23500001431,1370732100
21,True,1.1740000248,30,43,1.42900002003,1370732160
24,True,1.27199995518,32,47,1.33299994469,1370732280
26,True,1.41799998283,36,52,1.38499999046,1370732400
5,True,0.27500000596,7,10,1.39999997616,1370732460
12,True,0.544000029564,13,21,1.08299994469,1370732520
25,True,1.31500005722,33,48,1.32000005245,1370732580
23,True,1.32099997997,34,47,1.47800004482,1370732700
26,True,1.48000001907,38,55,1.4620000124,1370732760
39,True,2.09699988365,53,76,1.35899996758,1370732820
27,True,1.52199995518,39,54,1.44400000572,1370732880
8,True,0.404000014067,10,15,1.25,1370732940
14,True,0.690999984741,17,26,1.21399998665,1370733180
10,True,0.519999980927,13,19,1.29999995232,1370733240
28,True,1.53499996662,39,55,1.39300000668,1370733300
20,True,1.03900003433,26,38,1.29999995232,1370733360
35,True,1.86500000954,47,68,1.34300005436,1370733420
19,True,0.966000020504,24,35,1.26300001144,1370733480
9,True,0.537999987602,14,19,1.55599999428,1370733660
22,True,1.30799996853,34,47,1.54499995708,1370734440
20,True,1.00899994373,25,37,1.25,1370734560
2,True,0.0860000029206,2,3,1.0,1370734620
14,True,0.782999992371,20,28,1.42900002003,1370735100
52,True,2.99000000954,77,107,1.48099994659,1370735340
60,True,2.84400010109,69,105,1.14999997616,1370735400
8,True,0.433999985456,11,16,1.375,1370735460
11,True,0.653999984264,17,24,1.54499995708,1370735580
