datestr,age,bmr,e_protein,e_cholesterol,e_sat_fat,e_calcium,e_calories,e_unsat_fat,e_sodium,e_sugar,e_carbs,e_fiber,gender,height,m_distance,m_lcat,m_steps,m_workout_time,m_lcit,m_calories,m_total_calories,m_active_time,n_deep,n_bedtime,n_awakenings,n_light,n_duration,n_quality,n_awake_time,n_awake,n_asleep_time,pal,s_awakenings,s_quality,s_light,s_deep,s_bedtime,s_awake_time,s_asleep_time,s_awake,s_duration,weight
20130605,37.0136986301,1319.38485068,None,None,None,None,None,None,None,None,None,None,1.0,1.58,270.0,88.0,367.0,0.0,0.0,12.3110000491,1331.69585073,201.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57.0
20130606,37.0164383562,1319.37204082,None,None,None,None,None,None,None,None,None,None,1.0,1.58,8561.0,1129.0,12339.0,0.0,3480.0,336.044000283,1655.4160411,6412.0,None,None,None,None,None,None,None,None,None,None,0.0,71.0,8742.0,11409.0,14.0,374.0,41.0,2082.0,20151.0,57.0
20130607,37.0191780822,1319.35923096,None,None,None,None,None,None,None,None,None,None,1.0,1.58,8818.0,1450.0,13030.0,0.0,3660.0,346.185998712,1665.54522967,7040.0,2580.0,1317.0,0.0,2762.0,5342.0,18.0,1422.0,1052.0,1333.0,None,2.0,64.0,14160.0,7225.0,1418.0,378.0,1429.0,3297.0,21385.0,57.0
20130608,37.0219178082,1319.3464211,None,None,None,None,None,None,None,None,None,None,1.0,1.58,4644.0,645.0,6693.0,0.0,5640.0,183.414000019,1502.76042111,3472.0,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,1410.0,390.0,1410.0,0.0,25200.0,57.0
20130609,37.0246575342,1319.33361123,15.3100000619,460.0,4.5640001595,70.0,232.0,9.69599956274,663.0,0.939999982715,4.76000010967,0.300000011921,1.0,1.58,7965.0,1662.0,11611.0,1800.0,7260.0,375.598999478,1694.93261071,7917.0,None,None,None,None,None,None,None,None,None,None,2.0,99.0,12406.0,16136.0,1317.0,372.0,1321.0,2189.0,28542.0,57.0
20130610,37.0273972603,1319.32080137,None,None,None,None,None,None,None,None,None,None,1.0,1.58,11036.0,1290.0,15887.0,0.0,6360.0,435.56000052,1754.88080189,8277.0,None,None,None,None,None,None,None,None,None,None,0.0,78.0,13966.0,10080.0,1345.0,315.0,1358.0,806.0,24046.0,57.0
20130611,37.0301369863,1319.30799151,None,None,None,None,None,None,None,None,None,None,1.0,1.58,7627.0,1513.0,11107.0,0.0,6780.0,297.263999555,1616.57199106,5850.0,2340.0,380.0,0.0,1680.0,4020.0,12.0,450.0,1659.0,384.0,None,2.0,46.0,11393.0,4408.0,2.0,302.0,24.0,2217.0,15801.0,57.0
20130612,37.0328767123,1312.60080164,None,None,None,None,None,None,None,None,None,None,1.0,1.58,8267.0,1431.0,12324.0,10800.0,4500.0,974.546002209,2287.14680385,15678.0,None,None,None,None,None,None,None,None,None,None,1.0,100.0,20652.0,15093.0,1301.0,476.0,1315.0,1294.0,35745.0,56.3
20130613,37.0356164384,1311.63165178,None,None,None,None,None,None,None,None,None,None,1.0,1.58,5897.0,528.0,8505.0,0.0,5460.0,234.138000846,1545.76965263,4416.0,None,None,None,None,None,None,None,None,None,None,0.0,71.0,9480.0,11118.0,18.0,368.0,29.0,1426.0,20598.0,56.2
20130614,37.0383561644,1311.61884192,None,None,None,None,None,None,None,None,None,None,1.0,1.58,4569.0,488.0,6602.0,0.0,8220.0,177.032999299,1488.65184122,3436.0,None,None,None,None,None,None,None,None,None,None,1.0,70.0,8840.0,10967.0,40.0,400.0,53.0,1794.0,19807.0,56.2
20130615,37.0410958904,1311.60603205,None,None,None,None,None,None,None,None,None,None,1.0,1.58,4853.0,636.0,7086.0,0.0,7920.0,192.703000262,1504.30903232,3749.0,None,None,None,None,None,None,None,None,None,None,2.0,76.0,14848.0,9165.0,1359.0,369.0,1379.0,2989.0,24013.0,56.2
20130616,37.0438356164,1311.59322219,None,None,None,None,None,None,None,None,None,None,1.0,1.58,1755.0,237.0,2550.0,0.0,9540.0,67.288999632,1378.88222182,1340.0,None,None,None,None,None,None,None,None,None,None,1.0,88.0,9825.0,15001.0,10.0,445.0,21.0,1319.0,24826.0,56.2
20130617,37.0465753425,1311.58041233,None,None,None,None,None,None,None,None,None,None,1.0,1.58,7443.0,1213.0,10660.0,0.0,5940.0,292.514999788,1604.09541212,5474.0,None,None,None,None,None,None,None,None,None,None,2.0,85.0,12127.0,12590.0,1382.0,382.0,1398.0,1686.0,24717.0,56.2
20130618,37.0493150685,1311.56760247,None,None,None,None,None,None,None,None,None,None,1.0,1.58,6043.0,895.0,8764.0,0.0,5580.0,231.802999828,1543.37060229,4579.0,None,None,None,None,None,None,None,None,None,None,1.0,74.0,13976.0,9667.0,1408.0,368.0,1413.0,619.0,23643.0,56.2
20130619,37.0520547945,1311.5547926,None,None,None,None,None,None,None,None,None,None,1.0,1.58,5132.0,419.0,7355.0,0.0,10860.0,203.271000169,1514.82579277,3756.0,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,6.0,380.0,6.0,0.0,22440.0,56.2
20130620,37.0547945205,1311.54198274,None,None,None,None,None,None,None,None,None,None,1.0,1.58,8922.0,1462.0,12869.0,0.0,5700.0,356.093997706,1667.63598045,6805.0,None,None,None,None,None,None,None,None,None,None,2.0,50.0,11340.0,5930.0,106.0,411.0,117.0,1314.0,17270.0,56.2
20130621,37.0575342466,1311.52917288,None,None,None,None,None,None,None,None,None,None,1.0,1.58,3088.0,365.0,4616.0,0.0,7260.0,121.037999913,1432.56717279,2573.0,None,None,None,None,None,None,None,None,None,None,0.0,100.0,15671.0,16141.0,1274.0,374.0,1285.0,1013.0,31812.0,56.2
20130622,37.0602739726,1311.51636301,None,None,None,None,None,None,None,None,None,None,1.0,1.58,4322.0,595.0,6412.0,0.0,15180.0,172.200000469,1483.71636348,3499.0,None,None,None,None,None,None,None,None,None,None,0.0,100.0,14400.0,15120.0,1339.0,394.0,1345.0,519.0,29520.0,56.2
20130623,37.0630136986,1311.50355315,None,None,None,None,None,None,None,None,None,None,1.0,1.58,4996.0,419.0,7334.0,0.0,4020.0,192.083999023,1503.58755217,3930.0,None,None,None,None,None,None,None,None,None,None,1.0,78.0,13125.0,11766.0,96.0,546.0,107.0,2217.0,24891.0,56.2
20130624,37.0657534247,1311.49074329,None,None,None,None,None,None,None,None,None,None,1.0,1.58,12902.0,1469.0,18410.0,0.0,1140.0,499.331000894,1810.82174418,9347.0,None,None,None,None,None,None,None,None,None,None,0.0,100.0,14520.0,16740.0,1282.0,382.0,1302.0,1226.0,31260.0,56.2
20130625,37.0712328767,1311.47793342,None,None,None,None,None,None,None,None,None,None,1.0,1.58,4578.0,448.0,6496.0,0.0,5400.0,175.91299995,1487.39093337,3324.0,1050.0,791.0,0.0,0.0,1050.0,3.0,816.0,1546.0,802.0,None,0.0,66.0,12788.0,7860.0,21.0,371.0,27.0,1000.0,20648.0,56.2
20130626,37.0739726027,1311.46512356,None,None,None,None,None,None,None,None,None,None,1.0,1.58,4507.0,514.0,6395.0,0.0,7980.0,173.730999883,1485.19612344,3282.0,None,None,None,None,None,None,None,None,None,None,1.0,69.0,11939.0,9194.0,1428.0,383.0,7.0,4007.0,21133.0,56.2
20130627,37.0739726027,1311.4523137,None,None,None,None,None,None,None,None,None,None,1.0,1.58,6569.0,507.0,9430.0,0.0,4800.0,254.1060002,1565.5583139,4861.0,1560.0,765.0,1.0,1740.0,3300.0,8.0,840.0,1261.0,771.0,None,0.0,93.0,16260.0,12364.0,1339.0,379.0,1343.0,785.0,28624.0,56.2
20130628,37.0767123288,1311.43950384,None,None,None,None,None,None,None,None,None,None,1.0,1.58,3396.0,319.0,4838.0,0.0,7080.0,134.562999457,1446.00250329,2525.0,None,None,None,None,None,None,None,None,None,None,2.0,62.0,14015.0,6919.0,1439.0,359.0,3.0,766.0,20934.0,56.2
20130629,37.0794520548,1311.42669397,None,None,None,None,None,None,None,None,None,None,1.0,1.58,4772.0,467.0,6914.0,0.0,3480.0,188.345000584,1499.77169456,3681.0,None,None,None,None,None,None,None,None,None,None,0.0,100.0,13500.0,15480.0,1387.0,437.0,1394.0,726.0,28980.0,56.2
20130630,37.0794520548,1311.41388411,None,None,None,None,None,None,None,None,None,None,1.0,1.58,59.0,29.0,88.0,0.0,0.0,2.36400002241,212.600038319,49.0,None,None,None,None,None,None,None,None,None,None,0.0,57.0,12409.0,6541.0,83.0,408.0,94.0,698.0,18950.0,56.2
