26.9,102.92;0.003688504759,-0.00145375728999
28.62,104.38;0.003178603567,-0.00254809856
25.51,103.79;0.00298720664,-0.00203847885
26.24,104.09;0.003209391065,-0.00235497951999
25.67,104.24;0.003021895311,-0.0021725893
24.85,103.97;0.00304237017,-0.00197410583
25.35,103.03;0.002850583668,-0.00177025795
26.41,103.27;0.003478550942,-0.00188827515001
25.62,103.82;0.003081206992,-0.00199556351001
24.88,104.3;0.002905365329,-0.00221014023001
25.04,104.64;0.00307656412,-0.00222623348
24.9,103.12;0.002778382092,-0.00192046165
25.41,103.61;0.003120520766,-0.00181317329
24.77,103.24;0.002961527536,-0.00180780888
25.56,103.25;0.002985961619,-0.00183999538
24.35,102.52;0.002986126556,-0.00133037567001
24.26,102.93;0.003066498437,-0.00138938427
24.09,102.75;0.002830616532,-0.00146448612
24.68,102.91;0.003153776568,-0.00137329102
24.27,102.73;0.002909763813,-0.00144839287
24.67,102.15;0.002842035344,-0.00157177448
23.59,102.0;0.002679316847,-0.00143229961
24.06,101.98;0.002885161849,-0.00138938427
24.16,102.38;0.002687123914,-0.00156104565001
22.79,101.0;0.002903111046,-0.00129818916
23.07,101.03;0.002704630961,-0.00141620636001
23.9,100.88;0.002937793174,-0.00107288361001
24.42,100.82;0.00303820428,-0.00115871429
23.5,100.71;0.002710668851,-0.00112652779001
23.4,101.71;0.002712721711,-0.00147521496001
22.55,99.97;0.003046917477,-0.000933408736998
22.73,99.47;0.002835116118,-0.00104606151601
22.58,101.88;0.003115601068,-0.00126063824
22.32,99.55;0.003071821828,-0.000831484795
23.88,100.09;0.002580160258,-0.00125527381999
24.44,100.12;0.002798413821,-0.00126063824
23.92,99.02;0.00273137945,-0.000718832016005
24.03,99.25;0.002831940243,-0.000842213631003
24.58,99.92;0.00317093629,-0.000885128975
23.45,99.85;0.002824889929,-0.000906586647005
23.15,99.24;0.002767143388,-0.000820755959012
23.56,99.41;0.002507821883,-0.001137256622
25.12,99.18;0.002880267538,-0.00090122222899
24.69,99.15;0.002865950131,-0.000928044318997
25.01,98.51;0.003009254654,-0.000300407409995
24.82,99.61;0.003174571385,-0.000847578049004
24.58,98.7;0.003048975718,-0.000370144843998
26.86,100.25;0.00354623555,-0.00112652779001
26.63,101.24;0.003548620599,-0.00153958797
26.71,100.76;0.003560509304,-0.00126600265999
27.29,100.82;0.003513587848,-0.00123381615001
23.37,104.24;0.002664091617,-0.00209212303001
24.05,105.09;0.002611051658,-0.00304162502
23.42,104.68;0.002741847262,-0.00227987765999
23.12,104.71;0.002772696139,-0.0023496151
23.01,104.4;0.002602143944,-0.00234425068
24.03,104.19;0.002729048588,-0.00216722488
23.62,104.35;0.002531250882,-0.00228524208001
23.62,105.6;0.002835987296,-0.00307381153
23.35,102.43;0.00251673809,-0.00153422356
24.41,103.43;0.002769769248,-0.00209212303
23.36,103.41;0.002491924442,-0.00205993652
23.17,102.81;0.00279138942,-0.00140547752
31.22,121.48;0.001949733597,-0.00451147555999
31.4,121.24;0.001950590467,-0.00443637371001
31.41,121.48;0.001877128095,-0.00452756882
31.19,121.7;0.002083436377,-0.00432372093
31.05,121.76;0.002104895511,-0.00435590744
30.92,121.46;0.002066345886,-0.00454902649001
31.0,121.24;0.002138188703,-0.00440418720001
30.89,121.16;0.002085408019,-0.0045222044
31.15,121.1;0.001877719098,-0.00460267067001
31.73,121.4;0.001742941007,-0.00468850135999
25.04,102.73;0.002945334691,-0.00146985053999
25.21,102.48;0.002863582071,-0.00148057938
24.68,102.58;0.003148902045,-0.00121772289
24.9,102.79;0.002982748918,-0.00148057938
24.95,102.44;0.002796711235,-0.00156641006001
29.32,103.7;0.002904599599,-0.00214040278999
28.22,103.63;0.003620786341,-0.00194191933001
27.74,103.91;0.003570463891,-0.00196874142
27.61,104.06;0.003222942521,-0.00236570835
27.21,103.54;0.003530428081,-0.00193655490999
28.58,103.97;0.00346717929,-0.0021135807
28.08,104.28;0.003421998305,-0.00229597092
27.85,105.05;0.003263286082,-0.00310599804
27.42,104.86;0.003518989922,-0.00255346298
23.35,102.42;0.00250688775,-0.00154495238999
23.73,102.48;0.00263225143,-0.00143766402999
24.52,103.76;0.002957700129,-0.00202775001999
22.77,103.24;0.002888697264,-0.00174880028001
23.7,103.23;0.002672153679,-0.00177562236999
23.01,102.42;0.002621894754,-0.00153422356
23.64,102.79;0.002702866623,-0.00144302845
22.52,103.98;0.0,0.0
22.68,103.67;0.0,0.0
22.0,100.79;0.002835095356,-0.00113725662
21.95,100.5;0.002786337292,-0.00105142593
21.48,101.56;0.002750526931,-0.00130355358
25.01,101.54;0.003062731574,-0.00144302845
25.7,101.85;0.003195154149,-0.00139474869
25.55,102.36;0.002841012449,-0.0015771389
25.15,102.08;0.002758160739,-0.00165224075
25.21,101.26;0.002941239472,-0.00150203704999
25.73,101.34;0.002972046228,-0.00167369843
26.07,101.7;0.00335863352,-0.00153422356
25.58,102.45;0.00286449463,-0.00156641005999
25.32,101.58;0.003117996129,-0.00137865543
24.68,101.67;0.003080658743,-0.00143766402999
25.4,101.24;0.002956015767,-0.00150203705
25.45,100.24;0.002974165729,-0.00109434128001
26.53,99.88;0.003724509746,-0.000933408736998
26.1,99.94;0.003502298833,-0.000944137573001
25.82,100.55;0.003283677785,-0.00100851059
25.34,100.52;0.003010816273,-0.00106751919
25.45,99.52;0.003041981439,-0.000970959663007
26.55,100.18;0.003469520824,-0.00120699406
25.69,100.19;0.00301171961,-0.00116407871
25.68,99.98;0.003132839668,-0.00103533267999
25.9,99.39;0.003035343935,-0.00118017196699
25.48,100.56;0.003133235778,-0.000981688499991
25.23,100.33;0.002853405766,-0.00119626522
25.04,100.51;0.00298421747,-0.00108897685999
24.41,98.6;0.003165455529,-0.000155568123006
24.33,97.96;0.003074584037,-0.000193119049001
24.69,97.93;0.003182768391,-0.000139474868988
24.08,98.08;0.0,0.0
24.0,97.83;0.002925715171,-0.000230669974997
24.78,98.3;0.002966159598,-0.000332593918003
25.97,98.82;0.003347027526,-0.000445246696003
26.55,98.95;0.003699866172,-0.000493526458996
26.89,98.92;0.003731892282,-0.000429153441999
26.49,99.29;0.003519347912,-0.000954866408989
27.73,98.65;0.003580288483,-0.000295042991993
27.78,99.72;0.003459987569,-0.001126527786
28.49,98.93;0.003639879884,-0.000477433204992
27.15,99.27;0.003479818496,-0.000933408736998
25.0,123.33;0.0,0.0
15.07,117.51;0.0,0.0
40.82,111.65;-0.001282825658,-0.00671625136999
40.72,111.13;-0.001508368064,-0.00677525997
40.28,111.15;-0.001276842522,-0.00670552253999
40.58,110.0;-0.001205972173,-0.0058311224
40.55,110.52;-0.001177980699,-0.00591158867
41.03,110.03;-0.001634860394,-0.00599741936
39.67,106.82;-0.000912541527001,-0.00474214554001
41.03,113.08;-0.001804818798,-0.00726878643
40.88,113.97;-0.001423619544,-0.00661969185001
